1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	20
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	21
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	22
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	23
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	25
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	18	20
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	18	21
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	18	23
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19	20
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19	22
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19	23
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19	24
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19	25
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	20
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	22
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	23
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	24
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	21
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	22
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	24
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	25
